채널,title,views,likes,comments,published,videoId,url
SBS뉴스,"""엄마면 정신 못 차려""..""선생님 제발"" 실제 통화 '충격' (에디터픽) / SBS",500976,2955,722,2026-06-11T13:00:28Z,1fydCv5nTVw,https://www.youtube.com/watch?v=1fydCv5nTVw
KBS뉴스,"차량 수리 맡겼더니, 자가용으로 사용? #shorts / KBS",3141516,24019,1976,2026-06-16T00:00:16Z,e4W8lfEiAvA,https://www.youtube.com/watch?v=e4W8lfEiAvA
KBS뉴스,53년 동안 딱 2번뿐…올해 ‘7월 장마’ / KBS  2026.06.24.,2152674,12579,3517,2026-06-24T10:35:05Z,ET0PX_5CTlI,https://www.youtube.com/watch?v=ET0PX_5CTlI
KBS뉴스,"데뷔골 넣고 '사과 세리머니'한 스웨덴 선수, 왜? #shorts / KBS",1773069,5849,160,2026-06-16T03:00:22Z,HbSz9MnST6U,https://www.youtube.com/watch?v=HbSz9MnST6U
KBS뉴스,"멕시코전 종료 후, 이강인의 첫 마디는? #shorts / KBS",1676402,11524,1294,2026-06-19T03:39:59Z,OC9KFl__Jgw,https://www.youtube.com/watch?v=OC9KFl__Jgw
KBS뉴스,스페인 vs 카보베르데…'월드컵 최대 이변' 나왔다 #shorts / KBS,1442568,12041,988,2026-06-15T22:42:32Z,zxN1nGqJTPc,https://www.youtube.com/watch?v=zxN1nGqJTPc
KBS뉴스,사우디 vs 우루과이…아시아 돌풍 '이변' #shorts / KBS,1385410,6695,121,2026-06-16T04:48:20Z,bjL0o6uAyhk,https://www.youtube.com/watch?v=bjL0o6uAyhk
KBS뉴스,관중들 눈물…메시 해트트릭 #shorts / KBS,1225672,12958,932,2026-06-17T07:52:20Z,PRv9pH6x78w,https://www.youtube.com/watch?v=PRv9pH6x78w
KBS뉴스,호날두 '대굴욕' 포르투갈 vs 콩고민주공화국 #shorts / KBS,1087227,7512,1017,2026-06-17T22:43:30Z,AQa9Jdm7gHs,https://www.youtube.com/watch?v=AQa9Jdm7gHs
KBS뉴스,장원영 영상 파장…민원 접수 #shorts / KBS,957449,6702,2613,2026-06-16T10:00:11Z,0lme2-U0hFk,https://www.youtube.com/watch?v=0lme2-U0hFk
KBS뉴스,52년 만의 월드컵…콩고민주공화국 동점골 #shorts / KBS,795252,4145,81,2026-06-18T03:00:33Z,z-mKrDGIXAs,https://www.youtube.com/watch?v=z-mKrDGIXAs
KBS뉴스,첫 출전국 카보베르데…골키퍼 보지냐의 선방쇼 #shorts / KBS,746795,3796,499,2026-06-16T02:00:20Z,tu3ales9fnA,https://www.youtube.com/watch?v=tu3ales9fnA
KBS뉴스,호날두 단 두 번의 슈팅…허무했던 포르투갈 #shorts / KBS,698840,2860,388,2026-06-18T03:00:21Z,HcSlwcoKJWg,https://www.youtube.com/watch?v=HcSlwcoKJWg
KBS뉴스,이란 vs 뉴질랜드 '피말리는 혈투' #shorts / KBS,697721,2279,81,2026-06-16T10:30:15Z,mNIL2qjgjow,https://www.youtube.com/watch?v=mNIL2qjgjow
KBS뉴스,메시 월드컵 최다 골…아르헨티나 2:0 오스트리아 #shorts / KBS,693601,6156,651,2026-06-22T22:16:32Z,JwOnrMGmkRw,https://www.youtube.com/watch?v=JwOnrMGmkRw
KBS뉴스,조별리그 J조 2차전 아르헨티나 vs 오스트리아 / KBS 2026 북중미 월드컵 2026.06.23.,691606,4233,1955,2026-06-22T21:26:37Z,6OmKYjd6Rzg,https://www.youtube.com/watch?v=6OmKYjd6Rzg
KBS뉴스,"손흥민 교체, 분석해 보니 #shorts / KBS",677870,5333,1251,2026-06-20T07:00:33Z,HuwbHpx5ExI,https://www.youtube.com/watch?v=HuwbHpx5ExI
KBS뉴스,조별리그 K조 1차전 포르투갈 vs 콩고민주공화국 / KBS 2026 북중미 월드컵 2026.06.18.,674182,2781,2424,2026-06-17T21:39:46Z,daFQ8-loheI,https://www.youtube.com/watch?v=daFQ8-loheI
KBS뉴스,조별리그 I조 1차전 프랑스 vs 세네갈 / KBS 2026 북중미 월드컵 2026.06.17.,634661,2775,631,2026-06-16T21:39:50Z,PE2CvSWM0kg,https://www.youtube.com/watch?v=PE2CvSWM0kg
KBS뉴스,호날두도 해냈다! 포르투갈 5:0 우즈베키스탄 #shorts / KBS,624763,5986,695,2026-06-23T22:19:29Z,u9oaLbU5eLw,https://www.youtube.com/watch?v=u9oaLbU5eLw
KBS뉴스,체코 vs 남아공…홍명보호 '판 깔렸다' #shorts / KBS,603522,2730,275,2026-06-18T22:42:32Z,_xf99BR7YHw,https://www.youtube.com/watch?v=_xf99BR7YHw
KBS뉴스,월드컵 대회 초반 뒤흔든 '자책골' #shorts / KBS,557625,1768,56,2026-06-17T02:00:33Z,uueG1tVymwM,https://www.youtube.com/watch?v=uueG1tVymwM
KBS뉴스,조별리그 H조 1차전 카보베르데 vs 스페인 / KBS 2026 북중미 월드컵 2026.06.16.,526436,2560,1237,2026-06-15T21:34:29Z,5XSTs1wZBI0,https://www.youtube.com/watch?v=5XSTs1wZBI0
KBS뉴스,조별리그 A조 2차전 대한민국 vs 멕시코 / KBS 2026 북중미 월드컵 2026.06.19.,525376,1698,2353,2026-06-19T03:22:33Z,6uQPn8Wqpp8,https://www.youtube.com/watch?v=6uQPn8Wqpp8
KBS뉴스,[잇슈#태그] 돈 안 내고 월드컵 훔쳐보는 북한…‘도둑 중계’ 시작? / KBS 2026.06.18.,512706,1766,1559,2026-06-18T02:47:58Z,5i4YPqMdJME,https://www.youtube.com/watch?v=5i4YPqMdJME
KBS뉴스,"[지금뉴스] 규모 7.2 강진 직후 7.5 덮쳤다…“베네수, 최대 10만 명 사망” / KBS 2026.06.25.",508113,1862,568,2026-06-25T02:18:27Z,aOzEG9ZM3dw,https://www.youtube.com/watch?v=aOzEG9ZM3dw
KBS뉴스,"[🔴LIVE] 박문성 해설위원 남아공전에 격분 ""팀을 이따위로…어떻게 책임질 건가""/ KBS 출연 패인 분석·32강 전망/2026년 6월 25일",500303,4465,0,2026-06-25T05:59:30Z,vu4QuvFfDyQ,https://www.youtube.com/watch?v=vu4QuvFfDyQ
MBC뉴스,"집 앞 줄담배 고교생 제지하자 ""'장애인 아들' 욕""‥결국 흉기소동까지 #Shorts (MBC뉴스)",1553454,18552,4592,2026-06-16T13:00:37Z,Z0gMHyhXDKE,https://www.youtube.com/watch?v=Z0gMHyhXDKE
MBC뉴스,"""수원에서 발견된 마약 좀비?"".. 경찰 신고했더니 '충격' #Shorts (MBC뉴스)",1262910,16564,2405,2026-06-23T06:22:59Z,NL-CB-YF3hs,https://www.youtube.com/watch?v=NL-CB-YF3hs
MBC뉴스,"헬기 9대·소방 로봇까지 투입했는데‥""전쟁터 같았다"" (2026.06.16/뉴스데스크/MBC)",1231555,6587,1190,2026-06-16T11:34:26Z,k5sZRAmZZ5k,https://www.youtube.com/watch?v=k5sZRAmZZ5k
MBC뉴스,"'성조기 치마 여성' 수사 착수.. 경찰, 신원 특정 나섰다 #Shorts (MBC뉴스)",1148159,31284,7966,2026-06-17T05:10:01Z,9VrWZ_ifYe0,https://www.youtube.com/watch?v=9VrWZ_ifYe0
MBC뉴스,"피해자 두고 밖으로 '우르르', '대소름 액션' 경찰들 결국‥ #Shorts (MBC뉴스)",1100742,16327,3526,2026-06-21T10:44:57Z,bxlAjH46LrA,https://www.youtube.com/watch?v=bxlAjH46LrA
MBC뉴스,벽돌 들고 아이 뒤로 '슥'.. '오싹 신고'에 폭풍질주 #Shorts (MBC뉴스),1095722,23619,1047,2026-06-17T09:16:04Z,ZkxHHxOlPc8,https://www.youtube.com/watch?v=ZkxHHxOlPc8
MBC뉴스,70대 운전자 인도 돌진‥딸과 함께 걷던 엄마 참변 (2026.06.21/뉴스데스크/MBC),1028735,8284,6787,2026-06-21T11:26:09Z,kLstvAr3MAU,https://www.youtube.com/watch?v=kLstvAr3MAU
MBC뉴스,[오늘 이 뉴스] 무너져! '쾅' 와르르 대탈출.. '사망자 수' 가능성 섬뜩 (2026.06.25/MBC뉴스),979098,5783,553,2026-06-25T02:05:28Z,06tDfxNrq5E,https://www.youtube.com/watch?v=06tDfxNrq5E
MBC뉴스,"[자막뉴스] ""이런 미친 행정 처음 봤다"".. 콘크리트 대학살 '발칵' (MBC뉴스)",935575,11595,5513,2026-06-14T08:00:12Z,Tfzw1Jo0MwM,https://www.youtube.com/watch?v=Tfzw1Jo0MwM
MBC뉴스,"[오늘 이 뉴스] ""22일 오후 3시 영업 종료"", '논란 끝낸다' 스벅 초강수 (2026.06.15/MBC뉴스)",827388,11870,11826,2026-06-15T01:54:51Z,E999KcQypSk,https://www.youtube.com/watch?v=E999KcQypSk
MBC뉴스,"[뉴스 '꾹'] ""진짜 너무하잖아"" 터지더니.. ""돌려서 말 안 해"" 극대노  (2026.06.25/MBC뉴스)",826111,14798,8161,2026-06-25T08:30:36Z,xR1Vzig12Xw,https://www.youtube.com/watch?v=xR1Vzig12Xw
MBC뉴스,"'레이저' 쏘던 박성재, 오열하더니 결국.. #Shorts (MBC뉴스)",806489,19674,1735,2026-06-23T07:03:33Z,2SQGy4o49_o,https://www.youtube.com/watch?v=2SQGy4o49_o
MBC뉴스,"""내가 입 열면 엔터판 뒤집어져"".. 거침없던 차가원 '대반전' [뉴스.zip/MBC뉴스]",801408,5654,1878,2026-06-15T23:30:34Z,hVt1o0jil30,https://www.youtube.com/watch?v=hVt1o0jil30
MBC뉴스,"""이대로면 일본 위태롭다""..닛케이 보도에 '술렁' [뉴스.zip/MBC뉴스]",795758,7615,1301,2026-06-15T01:03:44Z,afZdIq07Lx8,https://www.youtube.com/watch?v=afZdIq07Lx8
MBC뉴스,[자막뉴스] 벽돌 들고 아이 뒤로 '슥'.. '오싹 신고'에 폭풍질주 (2026.06.17/MBC뉴스),792018,7760,1344,2026-06-17T09:04:43Z,13lXqty0Mhw,https://www.youtube.com/watch?v=13lXqty0Mhw
MBC뉴스,"""예리하게 껍질만 벗겨""‥백두대간 나무 비상 #Shorts (MBC뉴스)",789287,6191,468,2026-06-15T02:32:29Z,rDk6plBITv8,https://www.youtube.com/watch?v=rDk6plBITv8
MBC뉴스,'나한테 이 정도면 일반인은'..부르르 떤 전직 대법관 [뉴스.zip/MBC뉴스],784878,9603,1704,2026-06-14T07:00:24Z,_45BUJ2boBc,https://www.youtube.com/watch?v=_45BUJ2boBc
MBC뉴스,'그만해!' 4명 붙어도 난리.. 교도관들 얼굴 상처가.. #Shorts (MBC뉴스),756824,6235,2912,2026-06-22T09:00:11Z,W3O_f5huFkg,https://www.youtube.com/watch?v=W3O_f5huFkg
MBC뉴스,"일베 노래 나오자 '떼창'..멀찍이 떨어진 한 명, 왜? [뉴스.zip/MBC뉴스]",695683,10023,7143,2026-06-21T05:00:26Z,F5Gi_nPP1EQ,https://www.youtube.com/watch?v=F5Gi_nPP1EQ
MBC뉴스,자다가 머리맡이 '화끈'?..눈 떠보니 폰이 '타닥타닥' #Shorts (MBC뉴스),682430,3134,595,2026-06-21T08:17:16Z,uFf9ubasJEw,https://www.youtube.com/watch?v=uFf9ubasJEw
MBC뉴스,"[자막뉴스] ""일본 빼놓고 그냥 갔어?!"".. 젠슨 황 한국행에 '부들' (2026.06.14/MBC뉴스)",681878,7194,2165,2026-06-14T05:33:47Z,#NAME?,https://www.youtube.com/watch?v=-VlXP6JrnHw
MBC뉴스,"대전시 빚 1조 5천억‥ 인수위 ""사실상 파산 위기"" (2026.06.22/뉴스데스크/대전MBC)",660418,7829,3618,2026-06-23T03:00:39Z,idRLGSSv35w,https://www.youtube.com/watch?v=idRLGSSv35w
MBC뉴스,"""왜 일본 기업은 0 이지?""..존재감 없다며 '해부' #Shorts (MBC뉴스)",658697,4382,265,2026-06-17T09:09:19Z,kHUcjHZ33Ac,https://www.youtube.com/watch?v=kHUcjHZ33Ac
MBC뉴스,"[자막뉴스] 피해자 두고 밖으로 '우르르', '대소름 액션' 경찰들 결국‥ (2026.06.21/MBC뉴스)",645316,6250,3578,2026-06-21T08:28:23Z,N5zAtqrGL5w,https://www.youtube.com/watch?v=N5zAtqrGL5w
MBC뉴스,"""이게 중학생들이 할 짓이야?""..둑방 오른 아버지 '피눈물' [뉴스.zip/MBC뉴스]",643878,6929,5827,2026-06-13T03:06:52Z,Vl6dhpZxyJE,https://www.youtube.com/watch?v=Vl6dhpZxyJE
MBC뉴스,[뉴스 '꾹'] '받은 것 토해내고 5천 더'..금융치료 터졌다 '당혹' (2026.06.22/MBC뉴스),638328,8316,1390,2026-06-22T00:36:55Z,RO832Sl4Z-A,https://www.youtube.com/watch?v=RO832Sl4Z-A
MBC뉴스,"""박성웅이 거짓말할 이유가?"".. 임성근 '또 징역' 당혹 #Shorts (MBC뉴스)",628770,20192,1523,2026-06-11T08:55:22Z,bH5qI8E8XzE,https://www.youtube.com/watch?v=bH5qI8E8XzE
MBC뉴스,'준비자세' 하다 앞만 보고.. '날벼락 사고' 통화해보니 #Shorts (MBC뉴스),626697,11817,2596,2026-06-18T06:48:54Z,HuMQDZEkmz4,https://www.youtube.com/watch?v=HuMQDZEkmz4
MBC뉴스,"[뉴스 '꾹'] 촬영 끝나자 ""My Wife"", 트럼프 반응 봤더니.. (2026.06.17/MBC뉴스)",609243,9162,1435,2026-06-17T00:27:02Z,3lu37GtE-ZY,https://www.youtube.com/watch?v=3lu37GtE-ZY
MBC뉴스,미국이 전쟁 일으키고는‥'이란 재건' 450조는 한국 등이 맡아라? (2026.06.17/뉴스데스크/MBC),593044,4514,3632,2026-06-17T11:44:27Z,e8-EImKVZvI,https://www.youtube.com/watch?v=e8-EImKVZvI
MBC뉴스,"10년 만에 만난 '오뎅남' ""후회요? 딱 하나 있는데.."" [뉴스.zip/MBC뉴스]",584938,6770,3988,2026-06-20T07:00:12Z,jLLUjdzcMd8,https://www.youtube.com/watch?v=jLLUjdzcMd8
MBC뉴스,"[속보] 특검, '명태균 여론조사비 대납 의혹' 오세훈 서울시장 징역 1년 6개월 구형 - [MBC 뉴스속보] MBC뉴스 2026년 06월 17일",573332,10063,272,2026-06-18T00:25:29Z,71W5cxKWK6c,https://www.youtube.com/watch?v=71W5cxKWK6c
